country,year,lat,lon,geolev1,geolev2
ethiopia,2011,12.5144435035,38.8249840847,ETH.3,ETH.3.12
ethiopia,2011,12.556392241,37.3118585142,ETH.3,ETH.3.10
ethiopia,2011,12.6209662316,39.4244520175,ETH.11,ETH.11.1
ethiopia,2011,12.6231333276,39.6516820917,ETH.11,ETH.11.1
ethiopia,2011,12.7580639926,38.9938699775,ETH.3,ETH.3.12
ethiopia,2011,12.7826268158,39.3068867968,ETH.11,ETH.11.1
ethiopia,2011,12.8017155321,36.93031443,ETH.3,ETH.3.10
ethiopia,2011,12.805251571,37.4183801156,ETH.3,ETH.3.10
ethiopia,2011,12.9196896354,37.032969423,ETH.3,ETH.3.10
ethiopia,2011,13.01685124,39.3671636164,ETH.11,ETH.11.1
ethiopia,2011,13.2058110304,37.7876552215,ETH.3,ETH.3.10
ethiopia,2011,13.2349577336,39.1634392625,ETH.11,ETH.11.1
ethiopia,2011,13.2820240216,39.4405203839,ETH.11,ETH.11.1
ethiopia,2011,13.2843556689,39.5298315988,ETH.11,ETH.11.1
ethiopia,2011,13.3722274393,37.7898736298,ETH.3,ETH.3.10
ethiopia,2011,13.4774390358,37.121337842,ETH.11,ETH.11.3
ethiopia,2011,13.5160575022,37.6273155648,ETH.11,ETH.11.3
ethiopia,2011,13.642517176,38.1191822345,ETH.11,ETH.11.5
ethiopia,2011,13.6709932967,37.4064256501,ETH.11,ETH.11.3
ethiopia,2011,13.691822766,39.2019014551,ETH.11,ETH.11.2
ethiopia,2011,13.731570436,37.3672533162,ETH.11,ETH.11.3
ethiopia,2011,13.781326561,38.9865118422,ETH.11,ETH.11.2
ethiopia,2011,13.8014265472,39.6182529669,ETH.11,ETH.11.4
ethiopia,2011,13.8426043605,39.7196438594,ETH.11,ETH.11.4
ethiopia,2011,13.8440840301,38.4803250395,ETH.11,ETH.11.5
ethiopia,2011,13.8713387734,38.6366907016,ETH.11,ETH.11.2
ethiopia,2011,13.895387614,39.7873002106,ETH.11,ETH.11.4
ethiopia,2011,13.9843705066,39.5331294187,ETH.11,ETH.11.4
ethiopia,2011,13.985946938,38.6492990176,ETH.11,ETH.11.2
ethiopia,2011,14.0859773206,38.9755077144,ETH.11,ETH.11.2
ethiopia,2011,14.0862760222,37.9831865445,ETH.11,ETH.11.5
ethiopia,2011,14.0872350664,37.5015263838,ETH.11,ETH.11.3
ethiopia,2011,14.1097608206,38.4738350524,ETH.11,ETH.11.5
ethiopia,2011,14.1583566438,39.2258474475,ETH.11,ETH.11.2
ethiopia,2011,14.1819914938,36.4799930893,ETH.11,ETH.11.3
ethiopia,2011,14.2527065254,39.6508902034,ETH.11,ETH.11.4
ethiopia,2011,14.2834679193,38.5730157222,ETH.11,ETH.11.2
ethiopia,2011,14.2885896726,38.210251919,ETH.11,ETH.11.5
ethiopia,2011,14.3007959467,39.0594892637,ETH.11,ETH.11.2
ethiopia,2011,14.3192174691,39.2715992602,ETH.11,ETH.11.4
ethiopia,2011,14.353816185,37.890876313,ETH.11,ETH.11.5
ethiopia,2011,14.4559615944,39.4790823741,ETH.11,ETH.11.4
ethiopia,2011,3.45570056699,39.5159939261,ETH.9,ETH.9.6
ethiopia,2011,3.54993726091,39.1842340255,ETH.9,ETH.9.6
ethiopia,2011,3.8642429801,39.1013658071,ETH.8,ETH.8.3
ethiopia,2011,3.98293116381,38.4913678893,ETH.8,ETH.8.3
ethiopia,2011,4.28184427047,41.8750755047,ETH.9,ETH.9.6
ethiopia,2011,4.76768886663,39.2697492018,ETH.8,ETH.8.3
ethiopia,2011,4.8070976028,36.0818398582,ETH.10,ETH.10.8
ethiopia,2011,4.87905466671,39.1953787271,ETH.8,ETH.8.3
ethiopia,2011,5.22299798627,41.0432055896,ETH.9,ETH.9.6
ethiopia,2011,5.25295513188,37.4271768268,ETH.10,ETH.10.16
ethiopia,2011,5.29947726643,37.4826182904,ETH.10,ETH.10.16
ethiopia,2011,5.49534488804,37.5518429316,ETH.10,ETH.10.16
ethiopia,2011,5.52570615347,38.7620666963,ETH.8,ETH.8.5
ethiopia,2011,5.5541668341,37.8416513316,ETH.10,ETH.10.6
ethiopia,2011,5.59568261612,38.2936192427,ETH.8,ETH.8.3
ethiopia,2011,5.60315524467,37.6030634072,ETH.10,ETH.10.6
ethiopia,2011,5.63928393085,37.3823169626,ETH.10,ETH.10.9
ethiopia,2011,5.64655886803,37.3818910811,ETH.10,ETH.10.9
ethiopia,2011,5.74709706037,37.8508868358,ETH.10,ETH.10.3
ethiopia,2011,5.83633941337,36.6070302097,ETH.10,ETH.10.8
ethiopia,2011,5.85184911518,37.8832189758,ETH.10,ETH.10.3
ethiopia,2011,5.94525407784,38.322510837,ETH.10,ETH.10.11
ethiopia,2011,5.94989088571,37.1552324163,ETH.10,ETH.10.10
ethiopia,2011,5.98301240509,38.1616652609,ETH.10,ETH.10.11
ethiopia,2011,5.98817082582,37.4387863255,ETH.10,ETH.10.10
ethiopia,2011,6.02435784991,38.3413616597,ETH.8,ETH.8.5
ethiopia,2011,6.13630868631,36.6759763471,ETH.10,ETH.10.8
ethiopia,2011,6.13878361273,38.2843372409,ETH.10,ETH.10.11
ethiopia,2011,6.23385511377,37.3456169058,ETH.10,ETH.10.10
ethiopia,2011,6.2600677475,35.2645547968,ETH.10,ETH.10.5
ethiopia,2011,6.2656349463,36.6109388136,ETH.10,ETH.10.4
ethiopia,2011,6.27761186614,38.3115215185,ETH.10,ETH.10.11
ethiopia,2011,6.29109687243,37.4818442988,ETH.10,ETH.10.10
ethiopia,2011,6.33301035552,36.6032685349,ETH.10,ETH.10.4
ethiopia,2011,6.36391514169,36.5892168406,ETH.10,ETH.10.10
ethiopia,2011,6.37589338272,38.7269447069,ETH.8,ETH.8.5
ethiopia,2011,6.39898337786,38.8768980886,ETH.10,ETH.10.19
ethiopia,2011,6.40123809791,38.3446012616,ETH.10,ETH.10.11
ethiopia,2011,6.44962796151,38.3196828622,ETH.10,ETH.10.19
ethiopia,2011,6.45050353832,39.8802730059,ETH.8,ETH.8.2
