country,year1,year2,index1,index2,households
ethiopia,2011,2015,159,489,4.0
ethiopia,2011,2015,160,490,10.0
ethiopia,2011,2015,161,491,9.0
ethiopia,2011,2015,162,492,5.0
ethiopia,2011,2015,163,493,5.0
ethiopia,2011,2015,164,494,6.0
ethiopia,2011,2015,165,495,11.0
ethiopia,2011,2015,166,496,5.0
ethiopia,2011,2015,167,497,9.0
ethiopia,2011,2015,168,498,9.0
ethiopia,2011,2015,169,499,5.0
ethiopia,2011,2015,170,500,9.0
ethiopia,2011,2015,171,501,7.0
ethiopia,2011,2015,172,502,8.0
ethiopia,2011,2015,173,503,8.0
ethiopia,2011,2015,174,504,3.0
ethiopia,2011,2015,175,505,11.0
ethiopia,2011,2015,176,506,9.0
ethiopia,2011,2015,177,507,10.0
ethiopia,2011,2015,178,508,11.0
ethiopia,2011,2015,179,509,2.0
ethiopia,2011,2015,180,510,10.0
ethiopia,2011,2015,181,511,10.0
ethiopia,2011,2015,182,512,10.0
ethiopia,2011,2015,183,513,12.0
ethiopia,2011,2015,184,514,6.0
ethiopia,2011,2015,185,515,12.0
ethiopia,2011,2015,186,516,7.0
ethiopia,2011,2015,187,517,9.0
ethiopia,2011,2015,188,518,12.0
ethiopia,2011,2015,189,519,9.0
ethiopia,2011,2015,190,520,11.0
ethiopia,2011,2015,191,521,11.0
ethiopia,2011,2015,192,522,10.0
ethiopia,2011,2015,193,523,11.0
ethiopia,2011,2015,194,524,11.0
ethiopia,2011,2015,195,525,10.0
ethiopia,2011,2015,196,526,11.0
ethiopia,2011,2015,197,527,11.0
ethiopia,2011,2015,198,528,8.0
ethiopia,2011,2015,199,529,7.0
ethiopia,2011,2015,200,530,9.0
ethiopia,2011,2015,201,531,5.0
ethiopia,2011,2015,202,532,9.0
ethiopia,2011,2015,203,533,7.0
ethiopia,2011,2015,204,534,5.0
ethiopia,2011,2015,205,535,9.0
ethiopia,2011,2015,206,536,7.0
ethiopia,2011,2015,207,537,2.0
ethiopia,2011,2015,208,538,5.0
ethiopia,2011,2015,209,539,11.0
ethiopia,2011,2015,210,540,11.0
ethiopia,2011,2015,211,541,10.0
ethiopia,2011,2015,212,542,9.0
ethiopia,2011,2015,213,543,11.0
ethiopia,2011,2015,214,544,10.0
ethiopia,2011,2015,215,545,10.0
ethiopia,2011,2015,216,546,7.0
ethiopia,2011,2015,217,547,7.0
ethiopia,2011,2015,218,548,12.0
ethiopia,2011,2015,219,549,7.0
ethiopia,2011,2015,220,550,3.0
ethiopia,2011,2015,221,551,6.0
ethiopia,2011,2015,222,552,9.0
ethiopia,2011,2015,223,553,8.0
ethiopia,2011,2015,224,554,4.0
ethiopia,2011,2015,225,555,6.0
ethiopia,2011,2015,226,556,9.0
ethiopia,2011,2015,227,557,6.0
ethiopia,2011,2015,228,558,9.0
ethiopia,2011,2015,229,559,7.0
ethiopia,2011,2015,230,560,10.0
ethiopia,2011,2015,231,561,12.0
ethiopia,2011,2015,232,562,8.0
ethiopia,2011,2015,233,563,7.0
ethiopia,2011,2015,234,564,7.0
ethiopia,2011,2015,235,565,10.0
ethiopia,2011,2015,236,566,9.0
ethiopia,2011,2015,237,567,9.0
ethiopia,2011,2015,238,568,7.0
ethiopia,2011,2015,239,569,7.0
ethiopia,2011,2015,240,570,7.0
ethiopia,2011,2015,241,571,10.0
ethiopia,2011,2015,242,572,6.0
ethiopia,2011,2015,243,573,10.0
ethiopia,2011,2015,244,574,3.0
ethiopia,2011,2015,245,575,9.0
ethiopia,2011,2015,246,576,10.0
ethiopia,2011,2015,247,577,7.0
ethiopia,2011,2015,248,578,7.0
ethiopia,2011,2015,249,579,9.0
ethiopia,2011,2015,250,580,12.0
ethiopia,2011,2015,251,581,7.0
ethiopia,2011,2015,252,582,1.0
ethiopia,2011,2015,253,583,1.0
ethiopia,2011,2015,254,584,7.0
ethiopia,2011,2015,255,585,6.0
ethiopia,2011,2015,256,586,11.0
ethiopia,2011,2015,257,587,5.0
ethiopia,2011,2015,258,588,10.0
ethiopia,2011,2015,259,589,4.0
ethiopia,2011,2015,260,590,7.0
ethiopia,2011,2015,261,591,6.0
ethiopia,2011,2015,262,592,8.0
ethiopia,2011,2015,263,593,11.0
ethiopia,2011,2015,264,594,8.0
ethiopia,2011,2015,265,595,11.0
ethiopia,2011,2015,266,596,3.0
ethiopia,2011,2015,267,597,10.0
ethiopia,2011,2015,268,598,1.0
ethiopia,2011,2015,269,599,9.0
ethiopia,2011,2015,270,600,12.0
ethiopia,2011,2015,271,601,11.0
ethiopia,2011,2015,272,602,10.0
ethiopia,2011,2015,273,603,10.0
ethiopia,2011,2015,274,604,8.0
ethiopia,2011,2015,275,605,11.0
ethiopia,2011,2015,276,606,12.0
ethiopia,2011,2015,277,607,10.0
ethiopia,2011,2015,278,608,9.0
ethiopia,2011,2015,279,609,8.0
ethiopia,2011,2015,280,610,10.0
ethiopia,2011,2015,281,611,6.0
ethiopia,2011,2015,282,612,10.0
ethiopia,2011,2015,283,613,10.0
ethiopia,2011,2015,284,614,12.0
ethiopia,2011,2015,285,615,12.0
ethiopia,2011,2015,286,616,11.0
ethiopia,2011,2015,287,617,11.0
ethiopia,2011,2015,288,619,8.0
ethiopia,2011,2015,289,620,11.0
ethiopia,2011,2015,290,621,10.0
ethiopia,2011,2015,291,622,8.0
ethiopia,2011,2015,292,623,8.0
ethiopia,2011,2015,293,624,9.0
ethiopia,2011,2015,294,625,7.0
ethiopia,2011,2015,295,626,12.0
ethiopia,2011,2015,296,627,10.0
ethiopia,2011,2015,297,628,6.0
ethiopia,2011,2015,298,629,8.0
ethiopia,2011,2015,299,630,5.0
ethiopia,2011,2015,300,631,9.0
ethiopia,2011,2015,301,632,11.0
ethiopia,2011,2015,302,633,11.0
ethiopia,2011,2015,303,634,4.0
ethiopia,2011,2015,304,635,7.0
ethiopia,2011,2015,305,636,4.0
ethiopia,2011,2015,306,637,9.0
ethiopia,2011,2015,307,638,10.0
ethiopia,2011,2015,308,639,7.0
ethiopia,2011,2015,309,640,7.0
ethiopia,2011,2015,310,641,10.0
ethiopia,2011,2015,311,642,12.0
ethiopia,2011,2015,312,643,11.0
ethiopia,2011,2015,313,644,11.0
ethiopia,2011,2015,314,645,11.0
ethiopia,2011,2015,315,646,10.0
ethiopia,2011,2015,316,647,10.0
ethiopia,2011,2015,317,648,12.0
ethiopia,2011,2015,318,649,12.0
ethiopia,2011,2015,320,650,9.0
ethiopia,2011,2015,321,651,9.0
ethiopia,2011,2015,322,652,7.0
ethiopia,2011,2015,323,653,10.0
ethiopia,2011,2015,324,654,8.0
ethiopia,2011,2015,326,655,9.0
ethiopia,2011,2015,327,656,10.0
ethiopia,2011,2015,328,657,10.0
malawi,2010,2016,658,812,15.0
malawi,2010,2016,659,813,16.0
malawi,2010,2016,660,814,13.0
malawi,2010,2016,661,815,14.0
malawi,2010,2016,662,816,16.0
