"r2_train","r2_test","r2_true","jitter_num","jitter"
0.778534532381318,0.678723025817996,0.678723025817996,1,2.50162140529888
0.774004606431216,0.673506419541654,0.672334755479255,1,2.57319434688677
0.772433182089201,0.672671707809765,0.67576835081911,10,2.57319434688677
0.777965479817161,0.667905431787996,0.664143841732304,12,2.57319434688677
0.774254979237329,0.680044219876592,0.683183619266277,13,2.57319434688677
0.779735969633617,0.693104196013837,0.688778818669976,14,2.57319434688677
0.777751502523292,0.678915691147739,0.679448204755742,11,2.57319434688677
0.776977746326141,0.669986768536651,0.671343542690153,16,2.57319434688677
0.78194841646525,0.67815312806648,0.679393242183954,17,2.57319434688677
0.777956016593882,0.674096268160211,0.683070551531218,18,2.57319434688677
0.778406151847973,0.689518384053757,0.688390000082049,19,2.57319434688677
0.774871247301699,0.685818567078159,0.683589896938105,2,2.57319434688677
0.778857607307906,0.681398736640368,0.67978018863943,20,2.57319434688677
0.775606722895265,0.679352267893149,0.687454295886314,21,2.57319434688677
0.774482069325899,0.671021044080471,0.678064036728276,22,2.57319434688677
0.774968039193141,0.672614252831477,0.672619445613122,23,2.57319434688677
0.776736139349913,0.680927884139323,0.68344752174814,24,2.57319434688677
0.774037905696937,0.673077724917821,0.678387798775701,25,2.57319434688677
0.777829872037638,0.664615864701343,0.662146403623655,26,2.57319434688677
0.781447175416168,0.678388276166997,0.67672090034116,15,2.57319434688677
0.776108877458097,0.663687796681204,0.669857044109138,28,2.57319434688677
0.776354052673804,0.680634992594783,0.685813636456686,29,2.57319434688677
0.777383340908465,0.680458921408777,0.677100087508196,3,2.57319434688677
0.776863963146839,0.681458049124655,0.686952357687488,30,2.57319434688677
0.772275286972105,0.687152872438016,0.690510910657188,31,2.57319434688677
0.775212074819801,0.683226227936682,0.680516489585131,32,2.57319434688677
0.777898692233913,0.678085530870226,0.671988598284565,33,2.57319434688677
0.775499890668656,0.679232049643144,0.676719603584105,34,2.57319434688677
0.778621039326003,0.689795746477923,0.694199428776006,35,2.57319434688677
0.772140367991907,0.681090218734029,0.681938645302714,36,2.57319434688677
0.768681838119835,0.671181584632903,0.679317766507515,37,2.57319434688677
0.777552168621208,0.676403898507864,0.674877702027394,38,2.57319434688677
0.773626834033433,0.682844219303524,0.684010686360045,27,2.57319434688677
0.775260681867008,0.683987441386886,0.684956586846986,4,2.57319434688677
0.773666594839253,0.672470360725816,0.675378180808558,40,2.57319434688677
0.779399712747782,0.672583021649115,0.682611682014794,41,2.57319434688677
0.776711343073809,0.678059755640393,0.67994110134111,42,2.57319434688677
0.774587597240352,0.684129491887572,0.681886108040867,43,2.57319434688677
0.775881215494047,0.654785364822899,0.657795993695968,44,2.57319434688677
0.773645185484119,0.665056144823216,0.670777526414299,45,2.57319434688677
0.77709182219426,0.675597270844409,0.678425818695141,46,2.57319434688677
0.777695462742448,0.682820050200925,0.68710133711724,47,2.57319434688677
0.773241648586908,0.683118660182315,0.686667652802424,48,2.57319434688677
0.774738274752821,0.671497888099877,0.680642055075713,49,2.57319434688677
0.771479775183021,0.681714043583316,0.678029154394891,5,2.57319434688677
0.776005388512484,0.67625395811203,0.68454523603235,50,2.57319434688677
0.778581456431345,0.679820805405007,0.678555238618714,6,2.57319434688677
0.773298501240736,0.669746135472618,0.668116755173572,7,2.57319434688677
0.77126653696721,0.671366143834691,0.673399658597296,8,2.57319434688677
0.776250009136246,0.670936352721378,0.669848928472946,9,2.57319434688677
0.780749930592904,0.673583663380534,0.67151371250245,39,2.57319434688677
0.773145068881064,0.689105030230573,0.682378650935636,1,2.74434263376475
0.772187711971789,0.655979423226713,0.665780773129684,10,2.74434263376475
0.774305840462438,0.675852231944667,0.677436478110074,11,2.74434263376475
0.776369379371003,0.682235397737395,0.688906904453284,13,2.74434263376475
0.775961586113732,0.684009424561833,0.68912433656106,14,2.74434263376475
0.775111518680406,0.677184189297661,0.677521869646051,15,2.74434263376475
0.770406221176015,0.658985704931092,0.658975556464816,12,2.74434263376475
0.772398516646809,0.672367112411937,0.683448650405049,17,2.74434263376475
0.771552322032775,0.660206199035362,0.665275523853636,18,2.74434263376475
0.774517014731749,0.681615286841193,0.687169020524873,19,2.74434263376475
0.773674362623151,0.685117302266786,0.691168661560601,2,2.74434263376475
0.775071813327254,0.674035952552983,0.674218852793386,20,2.74434263376475
0.771636259245802,0.677135087890347,0.675978374900732,21,2.74434263376475
0.773593298180395,0.680464636327728,0.686142025626786,22,2.74434263376475
0.772167911454631,0.667317913920191,0.66555807600817,23,2.74434263376475
0.773669092315541,0.66261724500337,0.66609552774852,24,2.74434263376475
0.772374299434862,0.653725746634599,0.660609588522756,25,2.74434263376475
0.773986065614678,0.687675746563304,0.679979563011095,26,2.74434263376475
0.77304460549671,0.669983229611757,0.670199385615624,27,2.74434263376475
0.776102852670207,0.66977836074438,0.671053806973244,28,2.74434263376475
0.774317430117773,0.668279203627092,0.672285409463685,29,2.74434263376475
0.77779026099879,0.677475501878084,0.676865781870182,3,2.74434263376475
0.769855370610719,0.672824558154698,0.680036330853458,30,2.74434263376475
0.770927097494757,0.677280861140619,0.685961171543256,31,2.74434263376475
0.773157142361923,0.68191959531822,0.683330439360545,32,2.74434263376475
0.775730590296618,0.678274206032316,0.680280811885831,33,2.74434263376475
0.77365241396422,0.683793029815111,0.694924613952612,34,2.74434263376475
0.771218646907711,0.684330115096773,0.683809241637773,35,2.74434263376475
0.775241602548697,0.684826466436953,0.688145267727768,36,2.74434263376475
0.771359227359143,0.682609138509294,0.68552036292349,37,2.74434263376475
0.777463658401053,0.678337099776647,0.677670561768205,38,2.74434263376475
0.773736507995385,0.678136040759697,0.678516131837456,39,2.74434263376475
0.773975781051438,0.67480408871252,0.681782021499042,4,2.74434263376475
0.770406837840581,0.673604505637112,0.678136375775934,40,2.74434263376475
0.77036708734422,0.655543883881448,0.663434749547523,41,2.74434263376475
0.771222009402463,0.674948220929451,0.673008488560336,42,2.74434263376475
0.77668660140226,0.670810549829722,0.676002681776549,43,2.74434263376475
0.77795438957006,0.672836369718755,0.671112103380321,44,2.74434263376475
0.767155672855645,0.651086668405043,0.65949399175273,45,2.74434263376475
0.77357167955522,0.693608907241202,0.689443473553312,46,2.74434263376475
0.768511884954162,0.67035169422647,0.675633146473673,47,2.74434263376475
0.770916649773998,0.680366655543098,0.68642372392951,48,2.74434263376475
0.772873915560393,0.666155599203537,0.670375447569781,49,2.74434263376475
0.770414356830056,0.671532229297894,0.677385126487988,5,2.74434263376475
0.773313882436308,0.683615231163757,0.691877730336068,50,2.74434263376475
0.773036857610379,0.667615355601904,0.669069564959316,6,2.74434263376475
0.777409806899313,0.669122596496769,0.669796391944347,16,2.74434263376475
0.76905722525963,0.672870816172048,0.678667926761503,8,2.74434263376475
0.774932329600505,0.669382275428413,0.671775371593862,9,2.74434263376475
0.770023124426453,0.667249111379744,0.666837302104804,7,2.74434263376475
0.774544750388416,0.680538234659205,0.677302734482562,1,2.98421554569411
0.76619342203013,0.660306940231255,0.662753189312122,10,2.98421554569411
0.771284476416609,0.669474685241522,0.673190565937966,12,2.98421554569411
0.769872407899726,0.677735207670365,0.685250415578685,13,2.98421554569411
0.774666566347988,0.675371936173237,0.681282290093683,14,2.98421554569411
0.775931402097292,0.672623120581576,0.673582111118065,15,2.98421554569411
0.773143289483971,0.664678535363773,0.668284535153327,16,2.98421554569411
0.768998156780942,0.673375915325998,0.68100092594849,17,2.98421554569411
0.766688624747853,0.664089766299744,0.662972771825759,18,2.98421554569411
0.766526057413669,0.673655712509365,0.690183967778709,19,2.98421554569411
0.769304586568269,0.666714400787401,0.672202387748359,2,2.98421554569411
0.773688525402819,0.678731697337066,0.680265870455968,20,2.98421554569411
0.770427707412017,0.658778104780405,0.669255688690993,21,2.98421554569411
0.770093962742844,0.660374092375573,0.671396582520007,22,2.98421554569411
0.767670316219225,0.677537826549763,0.688544723697343,11,2.98421554569411
0.766509264149473,0.660581661645224,0.668581269048748,24,2.98421554569411
0.770545691771342,0.64983845903367,0.655600520486512,25,2.98421554569411
0.769226858283262,0.669530596936956,0.67380279586783,26,2.98421554569411
0.770274266607557,0.661517265714049,0.667853465044758,27,2.98421554569411
0.770906212346093,0.67032332580113,0.680326574712756,28,2.98421554569411
0.775004811941893,0.66916122109674,0.672638781959844,29,2.98421554569411
0.77364824503186,0.685572432208368,0.695338152505096,3,2.98421554569411
0.765899572945272,0.656954247186543,0.667507354306092,30,2.98421554569411
0.770740903535734,0.676371094192316,0.683041815277952,31,2.98421554569411
0.773713504397047,0.678327880261715,0.676007479325865,32,2.98421554569411
0.773190355407315,0.672030839151227,0.677130205487163,33,2.98421554569411
0.771694759536696,0.678938725383379,0.683364979050494,34,2.98421554569411
0.771353282979923,0.678030349538572,0.679411515164862,23,2.98421554569411
0.780344012847072,0.654948096947969,0.652504181430639,36,2.98421554569411
0.769199007921084,0.68395211652544,0.690397310048492,37,2.98421554569411
0.770132252295993,0.659827923541885,0.671717447598434,38,2.98421554569411
0.772115620314916,0.660035423675048,0.669295771122014,39,2.98421554569411
0.774480118374563,0.667695668080357,0.676268146283694,4,2.98421554569411
0.773917181180334,0.683229148558106,0.683139556748667,40,2.98421554569411
0.767924923075292,0.660677339912461,0.665729924096711,41,2.98421554569411
0.770201818474711,0.662073174330967,0.662756957486406,42,2.98421554569411
0.770729320321111,0.671547154571665,0.682355016057754,43,2.98421554569411
0.771341825480946,0.675984304358406,0.674302567176049,44,2.98421554569411
0.765670786804985,0.671936795536077,0.676525655957107,45,2.98421554569411
0.772428452827842,0.670514438705615,0.66786620862648,46,2.98421554569411
0.759175376957095,0.647634228361065,0.665162983977418,47,2.98421554569411
0.770124786877012,0.668302648705612,0.676263500206565,48,2.98421554569411
0.764396252435768,0.665542935584695,0.668528897364759,49,2.98421554569411
0.772482119002933,0.670505732003103,0.671563915573521,5,2.98421554569411
0.766525139935693,0.681262542108593,0.689800737722816,50,2.98421554569411
0.772782221808142,0.66787989134691,0.674957537122749,6,2.98421554569411
0.763953963369475,0.674220223199729,0.680627617957114,7,2.98421554569411
0.765353586454675,0.665962955154832,0.675357485391878,8,2.98421554569411
0.770320572786435,0.670352571938293,0.677929458767998,9,2.98421554569411
0.772906802175021,0.682349616131997,0.686305663460223,35,2.98421554569411
0.763447304764877,0.654894370133098,0.65788396892697,1,3.28173146553804
0.762641781033994,0.6552329262458,0.664084258423078,11,3.28173146553804
0.766202956131929,0.639967400017102,0.659814354281326,12,3.28173146553804
0.765377180917145,0.683301427482991,0.680172356095477,13,3.28173146553804
0.760904451408324,0.654318686378838,0.660552909457051,10,3.28173146553804
0.772892190521084,0.687385764896561,0.693689303500379,15,3.28173146553804
0.77043486947144,0.664238677721306,0.664249477401661,16,3.28173146553804
0.762837060353467,0.652618211169713,0.656762568900686,17,3.28173146553804
0.762015773683929,0.65523746655975,0.659302711088525,18,3.28173146553804
0.765346015738627,0.674054058090606,0.682454714094618,19,3.28173146553804
0.767428370304927,0.672178881975387,0.688289831154191,2,3.28173146553804
0.769024768226204,0.666327928492212,0.67784857832136,20,3.28173146553804
0.765336839246273,0.654639986239973,0.668215832224463,21,3.28173146553804
0.762324010787988,0.644175855168709,0.651886984341732,22,3.28173146553804
0.762328890559581,0.669324195382276,0.666150872198527,23,3.28173146553804
0.762435221934859,0.657496268700778,0.662538114954592,24,3.28173146553804
0.763054472757256,0.66720562162298,0.666622334533238,25,3.28173146553804
0.770624552348977,0.645897903341584,0.663129108153304,14,3.28173146553804
0.76456316422043,0.66601794092291,0.662354197201199,27,3.28173146553804
0.762764022217761,0.664269577322711,0.676191114179497,28,3.28173146553804
0.769759958657337,0.66619510084623,0.67114636030695,29,3.28173146553804
0.766101407630753,0.667903739807799,0.682063047605378,3,3.28173146553804
0.762153047521638,0.645948946203684,0.654272535103776,30,3.28173146553804
0.763290845645706,0.657388027346013,0.667751295360316,31,3.28173146553804
0.765742193739191,0.675331514169485,0.679384263441365,32,3.28173146553804
0.761777222299732,0.652690419772561,0.660643578530462,33,3.28173146553804
0.762624446271665,0.672144127349692,0.677878619034963,34,3.28173146553804
0.764147111973186,0.681936233373235,0.690849456198162,35,3.28173146553804
0.772751089630819,0.667817028026837,0.669080997538457,36,3.28173146553804
0.765262136410103,0.654300448854673,0.669985951569128,37,3.28173146553804
0.762975972156196,0.669636191955106,0.673259448567855,38,3.28173146553804
0.765020851684525,0.650962198733897,0.671407718261116,39,3.28173146553804
0.762290886255909,0.670700184796432,0.678132170852686,4,3.28173146553804
0.767751514174176,0.663861226933404,0.677700549530401,40,3.28173146553804
0.7647763147044,0.670858654140524,0.681455629583559,41,3.28173146553804
0.771090143334298,0.683000581788685,0.672492006212179,42,3.28173146553804
0.768142984255261,0.673232923529588,0.68551834487033,43,3.28173146553804
0.765838591420261,0.673537233590597,0.678757917571611,44,3.28173146553804
0.765061992719774,0.66035478621301,0.672044264120269,45,3.28173146553804
0.766591256927114,0.670216189991995,0.672928223219021,46,3.28173146553804
0.763118136047607,0.649098762884633,0.674610667088278,47,3.28173146553804
0.762312880283444,0.659712471185458,0.677190535245677,48,3.28173146553804
0.757882453101741,0.659049736782039,0.670351200683912,49,3.28173146553804
0.766702647972279,0.662304589380206,0.666884664316848,5,3.28173146553804
0.765198400314504,0.671020858307787,0.688061022466595,50,3.28173146553804
0.770863578781469,0.651875257148867,0.671789084057781,6,3.28173146553804
0.758279405876049,0.645981766010105,0.659379929188928,7,3.28173146553804
0.758063321134192,0.652147060486317,0.652336255828774,8,3.28173146553804
0.765266929914968,0.668534073668567,0.671250817941213,9,3.28173146553804
0.760457587443043,0.664946984051205,0.669269006717832,26,3.28173146553804
0.754463022933195,0.642358953774512,0.653935129409224,10,3.62708404833063
0.758669491129051,0.644313825829595,0.655451597227402,11,3.62708404833063
0.761122340868813,0.655770880234493,0.67240512613574,12,3.62708404833063
0.755861944067569,0.660126496923704,0.673326297687803,1,3.62708404833063
0.767965237346755,0.645137302625076,0.66619183015487,14,3.62708404833063
0.763086636530454,0.6762959710402,0.688342068328643,15,3.62708404833063
0.762616892572349,0.649664589711267,0.662970085793045,16,3.62708404833063
0.758970186354155,0.669885435634543,0.674134290516369,13,3.62708404833063
0.759558443275903,0.66148896704658,0.665353911816701,18,3.62708404833063
0.759114486817477,0.656948520149084,0.67881191774374,19,3.62708404833063
0.759361415858045,0.655632892489713,0.665841822005052,2,3.62708404833063
0.764557241763866,0.646436902496627,0.665222772666498,20,3.62708404833063
0.75929951792866,0.659098217954941,0.670216516337565,21,3.62708404833063
0.757974845888211,0.644428182266392,0.656571747700565,22,3.62708404833063
0.756348089586138,0.652916946635379,0.657109943562312,23,3.62708404833063
0.756296909124001,0.648593364043775,0.656428253072896,24,3.62708404833063
0.756424701339472,0.659427263601166,0.657709783223932,25,3.62708404833063
0.760496662222696,0.666451301403594,0.667367046087713,26,3.62708404833063
0.757314161508902,0.65456373498786,0.659688133515627,27,3.62708404833063
0.762542559434674,0.667514210601233,0.680340442891298,28,3.62708404833063
0.759115830753925,0.648917082052253,0.668663464498176,29,3.62708404833063
0.757650985465976,0.673047774736525,0.693451232681401,3,3.62708404833063
0.757460144383213,0.658093529431462,0.670254164213586,30,3.62708404833063
0.757440940210948,0.647190685791434,0.649010802454552,31,3.62708404833063
0.758854285199746,0.685383223036283,0.686400713630495,32,3.62708404833063
0.758450009618113,0.656598399629395,0.672666094680173,33,3.62708404833063
0.758520215277583,0.672195953553319,0.679410223564196,34,3.62708404833063
0.748311449415507,0.664603391687436,0.667869392472773,35,3.62708404833063
0.766403225192819,0.684154873303553,0.695355971306866,36,3.62708404833063
