country,year,lat,lon,index,et_index,n,geolev1,geolev2,rooms,electric,phone,radio,tv,auto,floor_qual,toilet_qual,watsup_qual,ea_id
uganda,2013,0.405371993780136,31.4780578613281,-0.272828258911077,,1,UGA.43,UGA.43.2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0
uganda,2013,0.423703014850616,33.6121711730957,-0.29530339917986,,5,UGA.37,UGA.37.1,3.2,0.0,0.4,1.0,0.0,0.0,1.0,3.8,3.0,2140003
uganda,2013,0.431405007839203,33.8126411437988,-0.143751792130205,,9,UGA.4,UGA.4.1,4.44444444444444,0.0,0.444444444444444,0.666666666666667,0.0,0.0,1.66666666666667,3.88888888888889,3.0,2010004
uganda,2013,0.432437002658844,33.2406768798828,0.468627083188734,,4,UGA.32,UGA.32.1,2.0,0.5,1.0,0.5,0.5,0.0,2.5,3.25,5.0,2040006
uganda,2013,0.435741990804672,32.8037338256836,0.0107311036391045,,7,UGA.44,UGA.44.3,1.71428571428571,0.0,0.857142857142857,0.571428571428571,0.142857142857143,0.0,2.28571428571429,4.0,3.42857142857143,1080020
uganda,2013,0.480720013380051,31.6931667327881,0.300553002966204,,1,UGA.43,UGA.43.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,0
uganda,2013,0.485487997531891,33.2385559082031,0.68181516313459,,7,UGA.11,UGA.11.1,2.85714285714286,0.571428571428571,0.857142857142857,0.571428571428571,0.428571428571429,0.142857142857143,2.71428571428571,3.85714285714286,4.71428571428571,2040009
uganda,2013,0.513224005699158,33.4177093505859,-0.18567021609585,,8,UGA.37,UGA.37.1,2.0,0.0,0.875,0.875,0.0,0.0,1.375,3.375,3.125,2140002
uganda,2013,0.53796797990799,31.368236541748,0.0921667404632055,,7,UGA.43,UGA.43.2,1.85714285714286,0.142857142857143,0.714285714285714,0.571428571428571,0.142857142857143,0.0,2.71428571428571,4.0,3.71428571428571,1070012
uganda,2013,0.545563995838165,33.0937652587891,0.0322114517829956,,9,UGA.11,UGA.11.3,3.11111111111111,0.0,0.777777777777778,0.777777777777778,0.0,0.0,2.44444444444444,3.55555555555556,3.22222222222222,2040015
uganda,2013,0.551319003105164,33.125862121582,-0.486959708754283,,8,UGA.11,UGA.11.3,1.75,0.0,0.375,0.75,0.0,0.0,1.375,3.375,3.125,2040014
uganda,2013,0.552686989307404,31.3820266723633,1.34275053736028,,4,UGA.43,UGA.43.2,2.5,0.75,1.0,1.0,1.0,0.0,4.0,3.75,5.0,1070001
uganda,2013,0.572827994823456,33.4740257263184,-0.0296911384262256,,8,UGA.10,UGA.10.3,2.625,0.0,1.0,0.875,0.0,0.0,1.75,3.25,3.0,2030018
uganda,2013,0.578552007675171,30.1612014770508,-0.300825119671089,,9,UGA.13,UGA.13.1,2.55555555555556,0.0,0.666666666666667,0.555555555555556,0.0,0.0,1.0,4.0,3.77777777777778,4050010
uganda,2013,0.586750984191895,31.7181568145752,0.138242684347133,,8,UGA.43,UGA.43.3,2.5,0.0,0.875,0.875,0.125,0.0,2.5,3.625,3.0,1070023
uganda,2013,0.589527010917664,32.6231079101562,0.536518765942358,,8,UGA.34,UGA.34.1,2.25,0.5,0.875,0.75,0.375,0.0,3.25,3.5,2.5,1040004
