"lat","lon","year.x","country","year.y","index","index_diff","geolev1","geolev2","x"
-0.292248010635376,31.4787216186523,2005,"uganda",2009,-0.369128019437358,-1.78220759308785,"UGA.53","UGA",8
-0.292248010635376,31.4787216186523,2009,"uganda",2013,-0.0471403204031954,-0.119516331704805,"UGA.53","UGA",8
-0.43911999464035,31.711950302124,2005,"uganda",2009,-0.211227112309412,-2.58572130769281,"UGA.35","UGA",1
-0.43911999464035,31.711950302124,2009,"uganda",2013,0.250288999987,-0.204501423104328,"UGA.35","UGA",1
-0.503360986709595,31.6160697937012,2005,"uganda",2009,-0.49568435383139,-2.34216098565276,"UGA.51","UGA",5
-0.503360986709595,31.6160697937012,2009,"uganda",2013,0.223951915597335,-0.192063329844524,"UGA.51","UGA",5
-0.508831024169922,31.3332862854004,2005,"uganda",2009,-0.251119062080019,-1.22634249975315,"UGA.51","UGA",9
-0.508831024169922,31.3332862854004,2009,"uganda",2013,0.0875585505199513,-0.604640943043855,"UGA.51","UGA",9
-0.518612027168274,31.1944370269775,2005,"uganda",2009,-0.349801356429336,-1.73786932319987,"UGA.51","UGA",6
-0.518612027168274,31.1944370269775,2009,"uganda",2013,0.154106421450558,-0.735362622483399,"UGA.51","UGA",6
-0.530628025531769,32.3274917602539,2005,"uganda",2009,0.127318507841524,-1.23025507510576,"UGA.32","UGA",3
-0.530628025531769,32.3274917602539,2009,"uganda",2013,0.0846212120165971,0.212618107763724,"UGA.32","UGA",3
-0.549796998500824,30.0675201416016,2005,"uganda",2009,-0.248912452064053,-1.35032315051553,"UGA.6","UGA",8
-0.549796998500824,30.0675201416016,2009,"uganda",2013,0.247496579022252,-0.43922049442379,"UGA.6","UGA",8
-0.553772985935211,30.3036918640137,2005,"uganda",2009,-0.10408538073933,-1.62270674159082,"UGA.6","UGA",8
-0.553772985935211,30.3036918640137,2009,"uganda",2013,-0.0137828829861446,-0.273868678812972,"UGA.6","UGA",8
-0.560572028160095,30.6788005828857,2005,"uganda",2009,-0.178254835639094,-1.13085067865611,"UGA.39","UGA",6
-0.560572028160095,30.6788005828857,2009,"uganda",2013,0.580064732247581,0.0226510941309722,"UGA.39","UGA",6
-0.576781988143921,31.6916370391846,2005,"uganda",2009,0.0370844199067512,-1.20069615090623,"UGA.35","UGA",7
-0.576781988143921,31.6916370391846,2009,"uganda",2013,0.127099172087182,-0.52377771847172,"UGA.35","UGA",8
-0.608761012554169,30.6722297668457,2005,"uganda",2009,-0.348455455873246,-1.37432328895516,"UGA.39","UGA",5
-0.608761012554169,30.6722297668457,2009,"uganda",2013,0.00576196181368637,-0.0976740232464934,"UGA.39","UGA",5
-0.639231026172638,31.5299873352051,2005,"uganda",2009,-0.225605144480047,-1.36223024873498,"UGA.51","UGA",6
-0.639231026172638,31.5299873352051,2009,"uganda",2013,0.278381514780892,-0.488893531104432,"UGA.51","UGA",6
-0.640430986881256,29.8059825897217,2005,"uganda",2009,-0.492391782162217,-1.55714171110427,"UGA.52","UGA",7
-0.640430986881256,29.8059825897217,2009,"uganda",2013,0.254678631215616,-0.546057554621945,"UGA.52","UGA",7
-0.69743800163269,30.4774150848389,2005,"uganda",2009,0.347672163025117,-1.0478422448763,"UGA.39","UGA",1
-0.69743800163269,30.4774150848389,2009,"uganda",2013,0.261521952357521,-0.03150816287532,"UGA.39","UGA",1
-0.745038986206055,30.4248142242432,2005,"uganda",2009,-0.459146450529118,-2.09070375338833,"UGA.39","UGA",7
-0.745038986206055,30.4248142242432,2009,"uganda",2013,-0.0228914672542471,-0.591404827830895,"UGA.39","UGA",7
-0.760571002960205,30.1790943145752,2005,"uganda",2009,-0.352306053966321,-1.69142281030267,"UGA.48","UGA",6
-0.760571002960205,30.1790943145752,2009,"uganda",2013,0.140396521115084,-0.239928671815396,"UGA.48","UGA",7
-0.860807001590729,30.2692756652832,2005,"uganda",2009,-0.456969095342227,-0.849223104742802,"UGA.48","UGA",6
-0.860807001590729,30.2692756652832,2009,"uganda",2013,0.534399651677979,0.461875806556803,"UGA.48","UGA",5
-0.867663025856018,30.3541145324707,2005,"uganda",2009,-0.00234256376639803,-1.13928941527578,"UGA.48","UGA",8
-0.867663025856018,30.3541145324707,2009,"uganda",2013,0.44802411003806,-0.17242011338502,"UGA.48","UGA",9
-0.887125015258789,31.711088180542,2005,"uganda",2009,0.173886630598256,-1.28327321483719,"UGA.51","UGA",6
-0.887125015258789,31.711088180542,2009,"uganda",2013,-0.217661361155171,-0.483777837115598,"UGA.51","UGA",7
-0.903626978397369,31.7654724121094,2005,"uganda",2009,-0.944637787956986,-2.46998907033024,"UGA.51","UGA",1
-0.903626978397369,31.7654724121094,2009,"uganda",2013,0.494484955947807,2.46722766204837,"UGA.51","UGA",1
-0.9203240275383,29.8012294769287,2005,"uganda",2009,-0.414374698968004,-2.18610751067988,"UGA.19","UGA",9
-0.9203240275383,29.8012294769287,2009,"uganda",2013,0.103861730895018,-0.341165484425155,"UGA.19","UGA",9
-0.964900970458984,29.9596881866455,2005,"uganda",2009,-0.337375582612421,-1.8604352900792,"UGA.52","UGA",7
-0.964900970458984,29.9596881866455,2009,"uganda",2013,0.131622223004228,-0.405088875257703,"UGA.52","UGA",7
-0.98233699798584,30.45973777771,2005,"uganda",2009,-0.51138245021882,-1.89339736617784,"UGA.48","UGA",8
-0.98233699798584,30.45973777771,2009,"uganda",2013,0.171583823955485,-0.299254178820405,"UGA.48","UGA",8
-0.987177014350891,30.1298351287842,2005,"uganda",2009,-0.00465286467986752,-1.28868512202062,"UGA.48","UGA",9
