country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Papua New Guinea,,,,1396,,,,,,,,,,,,,3658,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,3822,,,,,,,,4364,,,,,
El Salvador,,,40004,41116,,56292,72449,69162,50666,68550,71364,67589,67726,65021,68032,67448,82277,84217,84233,84668,80917,79323,88136,76217,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,173314,,,,,,,,,,,,,,
Tajikistan,,,,,,,14044,,,,26133,2660,,,30323,,1503,,,,,,2999,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,47110,,10120,11610,,,46600,,,24274,24621,25684,26034,26253,25903,25480,25906,25095,25154,24793,24358,44070,18255,18255,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,,30000,,,,29530,,45945,,45945,,45945,,46995,,47010,,46995,,46995,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,14120,,,,,,,65680,,,,,,,,,46880,,,,
Albania,,,,7515,,,,,,3599,,,3840,,,3599,,,,25335,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,24600,,,18253,,4037,19164,19232,28508,20645,21153,33082,32756,32362,32353,31024,20134,19831,19984,25920,19275,,
Azerbaijan,,,10080,,,,,,39100,33643,33731,33643,32875,,,,,,,,,,,,,
Belarus,14489,,14489,,,14489,14133,4652,4752,4882,4789,4831,4868,5227,5340,5328,5027,5524,5426,5321,5329,5541,14489,29860,,
Belize,2187,2141,4475,2209,2358,2437,16715,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,5402,,,24426,,,24334,,,,7468,,,,22483,,,
Brazil,311213,,323886,322855,339355,335156,343889,,371009,378143,377732,391973,401702,403134,392999,394322,391257,,352020,352020,350731,354453,351676,,,
Bulgaria,,32770,5805,,11585,,,,7459,,8168,,,32770,32770,28040,30855,32770,28535,24855,24815,32770,,,,
China,459100,,,459300,,,460400,,,464200,,,800000,,,664325,,668985,800000,800000,800000,800000,800000,,,
Colombia,,,,156320,,,174110,167690,106636,90015,133138,149113,144974,,,204747,203431,200555,202883,197767,193932,192837,773585,,,
Costa Rica,29723,33121,34462,34656,35591,38181,36387,35846,35081,37502,38755,39160,40651,41591,43770,42011,45763,40943,40674,39340,38733,38334,37200,36899,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,23821,15641,,,22424,22223,22114,29747,29256,30016,28619,28410,30638,30403,29834,29457,29085,29203,137485,133495,131630,,
Ecuador,,20101,33393,,,37549,24977,58173,,,80330,81337,75125,76738,75125,77858,77287,81578,68760,72138,80618,115572,111700,113807,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,5245,,,,,,3573,,,,,27593,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,
